video_id,filename,creation_time,duration_s,fps,width,height,frames,frame_count_source,file_size_bytes
"GX010147","GX010147.MP4","2022-04-06T20:41:00.000000Z",70.885000,200.000000,1920,1080,14162,"ffprobe_nb_frames",534346831
"GX010148","GX010148.MP4","2022-04-06T20:51:28.000000Z",80.015000,200.000000,1920,1080,15988,"ffprobe_nb_frames",602838754
"GX010149","GX010149.MP4","2022-04-07T11:48:45.000000Z",417.820000,200.000000,1920,1080,83550,"ffprobe_nb_frames",3150472819
"GX010150","GX010150.MP4","2022-04-07T11:59:49.000000Z",75.105000,200.000000,1920,1080,15006,"ffprobe_nb_frames",566284327
"GX010151","GX010151.MP4","2022-04-07T12:04:37.000000Z",75.810000,200.000000,1920,1080,15147,"ffprobe_nb_frames",571540270
"GX010152","GX010152.MP4","2022-04-07T12:14:39.000000Z",75.420000,200.000000,1920,1080,15070,"ffprobe_nb_frames",568594160
"GX010153","GX010153.MP4","2022-04-07T12:20:39.000000Z",75.755000,200.000000,1920,1080,15134,"ffprobe_nb_frames",570928834
"GX010154","GX010154.MP4","2022-04-07T12:25:37.000000Z",75.805000,200.000000,1920,1080,15147,"ffprobe_nb_frames",571516136
"GX010155","GX010155.MP4","2022-04-07T12:30:29.000000Z",74.805000,200.000000,1920,1080,14947,"ffprobe_nb_frames",564000400
"GX010156","GX010156.MP4","2022-04-07T12:35:18.000000Z",74.800000,200.000000,1920,1080,14947,"ffprobe_nb_frames",563846804
"GX010157","GX010157.MP4","2022-04-07T12:40:22.000000Z",74.530000,200.000000,1920,1080,14891,"ffprobe_nb_frames",561761719
"GX010158","GX010158.MP4","2022-04-07T12:45:20.000000Z",75.090000,200.000000,1920,1080,15002,"ffprobe_nb_frames",565881161
"GX010159","GX010159.MP4","2022-04-07T12:50:18.000000Z",77.045000,200.000000,1920,1080,15395,"ffprobe_nb_frames",580938460
"GX010160","GX010160.MP4","2022-04-07T12:58:18.000000Z",531.008000,200.000000,1920,1080,106200,"ffprobe_nb_frames",4004327010
"GX010161","GX010161.MP4","2022-04-07T13:45:54.000000Z",76.540000,200.000000,1920,1080,15292,"ffprobe_nb_frames",576887207
"GX010162","GX010162.MP4","2022-04-07T13:50:53.000000Z",75.740000,200.000000,1920,1080,15143,"ffprobe_nb_frames",571198255
"GX010163","GX010163.MP4","2022-04-07T13:56:08.000000Z",76.190000,200.000000,1920,1080,15224,"ffprobe_nb_frames",574332587
"GX010164","GX010164.MP4","2022-04-07T14:08:49.000000Z",531.008000,200.000000,1920,1080,106200,"ffprobe_nb_frames",4004534088
"GX010165","GX010165.MP4","2022-04-07T14:30:14.000000Z",75.325000,200.000000,1920,1080,15049,"ffprobe_nb_frames",567762187
"GX010166","GX010166.MP4","2022-04-07T14:40:38.000000Z",77.125000,200.000000,1920,1080,15412,"ffprobe_nb_frames",581091366
"GX010167","GX010167.MP4","2022-04-07T21:17:47.000000Z",74.045000,200.000000,1920,1080,14793,"ffprobe_nb_frames",557963256
"GX010168","GX010168.MP4","2022-04-08T18:07:32.000000Z",77.035000,200.000000,1920,1080,15390,"ffprobe_nb_frames",580776234
"GX010169","GX010169.MP4","2022-04-08T18:16:10.000000Z",80.650000,200.000000,1920,1080,16116,"ffprobe_nb_frames",607777106
"GX010170","GX010170.MP4","2022-04-08T18:21:05.000000Z",74.590000,200.000000,1920,1080,14904,"ffprobe_nb_frames",561974128
"GX010171","GX010171.MP4","2022-04-08T18:26:07.000000Z",74.660000,200.000000,1920,1080,14917,"ffprobe_nb_frames",562898800
"GX010172","GX010172.MP4","2022-04-08T18:31:05.000000Z",75.110000,200.000000,1920,1080,15006,"ffprobe_nb_frames",566275291
"GX010173","GX010173.MP4","2022-04-08T18:38:40.000000Z",81.125000,200.000000,1920,1080,16210,"ffprobe_nb_frames",611458863
"GX010174","GX010174.MP4","2022-04-08T19:00:19.000000Z",74.215000,200.000000,1920,1080,14827,"ffprobe_nb_frames",559210010
"GX010175","GX010175.MP4","2022-04-08T19:10:01.000000Z",531.008000,200.000000,1920,1080,106200,"ffprobe_nb_frames",4004382898
"GX010176","GX010176.MP4","2022-04-08T19:27:23.000000Z",75.185000,200.000000,1920,1080,15023,"ffprobe_nb_frames",566742588
"GX010177","GX010177.MP4","2022-04-08T19:38:56.000000Z",74.475000,200.000000,1920,1080,14878,"ffprobe_nb_frames",561204371
"GX010178","GX010178.MP4","2022-04-08T19:44:11.000000Z",75.300000,200.000000,1920,1080,15045,"ffprobe_nb_frames",567575539
"GX010179","GX010179.MP4","2022-04-08T20:11:16.000000Z",75.105000,200.000000,1920,1080,15006,"ffprobe_nb_frames",566220421
"GX010180","GX010180.MP4","2022-04-08T20:16:15.000000Z",79.950000,200.000000,1920,1080,15975,"ffprobe_nb_frames",602521948
"GX010181","GX010181.MP4","2022-04-08T20:22:24.000000Z",74.810000,200.000000,1920,1080,14947,"ffprobe_nb_frames",563703097
"GX010182","GX010182.MP4","2022-04-08T20:27:00.000000Z",84.690000,200.000000,1920,1080,16922,"ffprobe_nb_frames",638264771
"GX010183","GX010183.MP4","2022-04-08T20:31:38.000000Z",355.780000,200.000000,1920,1080,71143,"ffprobe_nb_frames",2682700665
"GX010184","GX010184.MP4","2022-04-08T20:41:10.000000Z",71.435000,200.000000,1920,1080,14273,"ffprobe_nb_frames",538332578
"GX010185","GX010185.MP4","2022-04-09T17:21:09.000000Z",77.200000,200.000000,1920,1080,15425,"ffprobe_nb_frames",582031138
"GX010186","GX010186.MP4","2022-04-09T17:36:03.000000Z",80.185000,200.000000,1920,1080,16022,"ffprobe_nb_frames",604333531
"GX010187","GX010187.MP4","2022-04-09T17:48:11.000000Z",70.460000,200.000000,1920,1080,14076,"ffprobe_nb_frames",531012335
"GX010188","GX010188.MP4","2022-04-09T18:07:47.000000Z",75.280000,200.000000,1920,1080,15041,"ffprobe_nb_frames",567316129
"GX010189","GX010189.MP4","2022-04-09T18:15:05.000000Z",433.265000,200.000000,1920,1080,86639,"ffprobe_nb_frames",3266892109
"GX010190","GX010190.MP4","2022-04-09T18:27:43.000000Z",69.775000,200.000000,1920,1080,13940,"ffprobe_nb_frames",525521862
"GX010191","GX010191.MP4","2022-04-09T18:37:17.000000Z",79.400000,200.000000,1920,1080,15864,"ffprobe_nb_frames",598365546
"GX010192","GX010192.MP4","2022-04-09T19:01:15.000000Z",76.745000,200.000000,1920,1080,15335,"ffprobe_nb_frames",578660607
"GX010193","GX010193.MP4","2022-04-09T19:10:11.000000Z",365.860000,200.000000,1920,1080,73157,"ffprobe_nb_frames",2758565648
"GX010194","GX010194.MP4","2022-04-09T19:21:14.000000Z",70.895000,200.000000,1920,1080,14166,"ffprobe_nb_frames",534118658
"GX010195","GX010195.MP4","2022-04-11T15:52:32.000000Z",74.975000,200.000000,1920,1080,14981,"ffprobe_nb_frames",564811898
"GX010196","GX010196.MP4","2022-04-11T15:57:28.000000Z",75.045000,200.000000,1920,1080,14994,"ffprobe_nb_frames",565418631
"GX010197","GX010197.MP4","2022-04-11T16:02:22.000000Z",76.920000,200.000000,1920,1080,15369,"ffprobe_nb_frames",579257013
"GX010198","GX010198.MP4","2022-04-11T16:07:12.000000Z",74.810000,200.000000,1920,1080,14947,"ffprobe_nb_frames",563516733
"GX010199","GX010199.MP4","2022-04-11T16:17:17.000000Z",351.770000,200.000000,1920,1080,70349,"ffprobe_nb_frames",2652415028
"GX010200","GX010200.MP4","2022-04-11T16:26:37.000000Z",74.920000,200.000000,1920,1080,14968,"ffprobe_nb_frames",564506808
"GX010201","GX010201.MP4","2022-04-11T16:31:23.000000Z",65.930000,200.000000,1920,1080,13172,"ffprobe_nb_frames",496574377
"GX010202","GX010202.MP4","2022-04-11T16:36:05.000000Z",75.155000,200.000000,1920,1080,15015,"ffprobe_nb_frames",565987889
"GX010203","GX010203.MP4","2022-04-11T17:06:10.000000Z",74.960000,200.000000,1920,1080,14977,"ffprobe_nb_frames",564728332
"GX010204","GX010204.MP4","2022-04-11T17:10:55.000000Z",74.590000,200.000000,1920,1080,14904,"ffprobe_nb_frames",561964817
"GX010205","GX010205.MP4","2022-04-11T17:32:14.000000Z",72.380000,200.000000,1920,1080,14460,"ffprobe_nb_frames",545496398
"GX010206","GX010206.MP4","2022-04-11T17:40:31.000000Z",74.640000,200.000000,1920,1080,14913,"ffprobe_nb_frames",562200237
"GX010207","GX010207.MP4","2022-04-11T17:46:07.000000Z",75.380000,200.000000,1920,1080,15070,"ffprobe_nb_frames",568333099
"GX010208","GX010208.MP4","2022-04-11T18:37:27.000000Z",74.915000,200.000000,1920,1080,14968,"ffprobe_nb_frames",564828442
"GX010209","GX010209.MP4","2022-04-11T18:42:04.000000Z",76.345000,200.000000,1920,1080,15254,"ffprobe_nb_frames",575209362
"GX010210","GX010210.MP4","2022-04-11T18:46:42.000000Z",75.545000,200.000000,1920,1080,15096,"ffprobe_nb_frames",568998160
"GX010211","GX010211.MP4","2022-04-11T18:51:21.000000Z",75.065000,200.000000,1920,1080,15006,"ffprobe_nb_frames",566052395
"GX010212","GX010212.MP4","2022-04-11T18:56:01.000000Z",74.915000,200.000000,1920,1080,14968,"ffprobe_nb_frames",564546153
"GX010213","GX010213.MP4","2022-04-11T19:09:02.000000Z",75.300000,200.000000,1920,1080,15045,"ffprobe_nb_frames",567658813
"GX010214","GX010214.MP4","2022-04-11T19:13:50.000000Z",74.575000,200.000000,1920,1080,14900,"ffprobe_nb_frames",562186741
"GX010215","GX010215.MP4","2022-04-11T19:18:36.000000Z",74.520000,200.000000,1920,1080,14891,"ffprobe_nb_frames",561805926
"GX010216","GX010216.MP4","2022-04-11T19:23:24.000000Z",74.825000,200.000000,1920,1080,14951,"ffprobe_nb_frames",563881448
"GX010217","GX010217.MP4","2022-04-11T19:28:11.000000Z",75.165000,200.000000,1920,1080,15019,"ffprobe_nb_frames",566735538
"GX010218","GX010218.MP4","2022-04-11T19:34:10.000000Z",74.575000,200.000000,1920,1080,14900,"ffprobe_nb_frames",561939656
"GX010219","GX010219.MP4","2022-04-11T19:38:58.000000Z",74.940000,200.000000,1920,1080,14972,"ffprobe_nb_frames",564601128
